Time,Solar Radiation,Solar Irradiation
1/6/2019 0:00:00,0.0,145.02314814814932
1/6/2019 1:00:00,0.0,145.02314814814932
1/6/2019 2:00:00,0.0,145.02314814814932
1/6/2019 3:00:00,0.0,145.02314814814932
1/6/2019 4:00:00,0.0,145.02314814814932
1/6/2019 5:00:00,3.3763636363636365,145.02314814814932
1/6/2019 6:00:00,71.99090909090908,145.02314814814932
1/6/2019 7:00:00,268.0109090909091,145.02314814814932
1/6/2019 8:00:00,332.3168181818182,145.02314814814932
1/6/2019 9:00:00,357.86727272727273,145.02314814814932
1/6/2019 10:00:00,341.78409090909093,145.02314814814932
1/6/2019 11:00:00,222.605,145.02314814814932
1/6/2019 12:00:00,168.21045454545455,145.02314814814932
1/6/2019 13:00:00,110.24909090909091,145.02314814814932
1/6/2019 14:00:00,62.56227272727273,145.02314814814932
1/6/2019 15:00:00,10.195,145.02314814814932
1/6/2019 16:00:00,0.0,145.02314814814932
1/6/2019 17:00:00,0.0,145.02314814814932
1/6/2019 18:00:00,0.0,145.02314814814932
1/6/2019 19:00:00,0.0,145.02314814814932
1/6/2019 20:00:00,0.0,145.02314814814932
1/6/2019 21:00:00,0.0,145.02314814814932
1/6/2019 22:00:00,0.0,145.02314814814932
1/6/2019 23:00:00,0.0,116.31944444444537
2/6/2019 0:00:00,0.0,116.31944444444537
2/6/2019 1:00:00,0.0,116.31944444444537
2/6/2019 2:00:00,0.0,116.31944444444537
2/6/2019 3:00:00,0.0,116.31944444444537
2/6/2019 4:00:00,0.0,116.31944444444537
2/6/2019 5:00:00,6.134545454545455,116.31944444444537
2/6/2019 6:00:00,157.87272727272727,116.31944444444537
2/6/2019 7:00:00,232.50227272727273,116.31944444444537
2/6/2019 8:00:00,136.87818181818182,116.31944444444537
2/6/2019 9:00:00,351.70181818181817,116.31944444444537
2/6/2019 10:00:00,204.10454545454544,116.31944444444537
2/6/2019 11:00:00,181.82545454545453,116.31944444444537
2/6/2019 12:00:00,78.38409090909092,116.31944444444537
2/6/2019 13:00:00,131.77727272727273,116.31944444444537
2/6/2019 14:00:00,83.31090909090909,116.31944444444537
2/6/2019 15:00:00,15.490454545454545,116.31944444444537
2/6/2019 16:00:00,0.0,116.31944444444537
2/6/2019 17:00:00,0.0,116.31944444444537
2/6/2019 18:00:00,0.0,116.31944444444537
2/6/2019 19:00:00,0.0,116.31944444444537
2/6/2019 20:00:00,0.0,116.31944444444537
2/6/2019 21:00:00,0.0,116.31944444444537
2/6/2019 22:00:00,0.0,116.31944444444537
2/6/2019 23:00:00,0.0,163.31018518518647
3/6/2019 0:00:00,0.0,163.31018518518647
3/6/2019 1:00:00,0.0,163.31018518518647
3/6/2019 2:00:00,nan,163.31018518518647
3/6/2019 3:00:00,nan,163.31018518518647
3/6/2019 4:00:00,nan,163.31018518518647
3/6/2019 5:00:00,nan,163.31018518518647
3/6/2019 6:00:00,123.21409090909091,163.31018518518647
3/6/2019 7:00:00,161.145,163.31018518518647
3/6/2019 8:00:00,311.4409090909091,163.31018518518647
3/6/2019 9:00:00,358.01272727272726,163.31018518518647
3/6/2019 10:00:00,164.72272727272727,163.31018518518647
3/6/2019 11:00:00,218.1768181818182,163.31018518518647
3/6/2019 12:00:00,186.31681818181818,163.31018518518647
3/6/2019 13:00:00,136.61863636363637,163.31018518518647
3/6/2019 14:00:00,72.35909090909091,163.31018518518647
3/6/2019 15:00:00,22.669545454545453,163.31018518518647
3/6/2019 16:00:00,0.0,163.31018518518647
3/6/2019 17:00:00,0.0,163.31018518518647
3/6/2019 18:00:00,0.0,163.31018518518647
3/6/2019 19:00:00,0.0,163.31018518518647
3/6/2019 20:00:00,0.0,163.31018518518647
3/6/2019 21:00:00,0.0,163.31018518518647
3/6/2019 22:00:00,0.0,163.31018518518647
3/6/2019 23:00:00,0.0,164.69907407407538
4/6/2019 0:00:00,0.0,164.69907407407538
4/6/2019 1:00:00,0.0,164.69907407407538
4/6/2019 2:00:00,0.0,164.69907407407538
4/6/2019 3:00:00,0.0,164.69907407407538
4/6/2019 4:00:00,0.0,164.69907407407538
4/6/2019 5:00:00,6.380909090909091,164.69907407407538
4/6/2019 6:00:00,152.15863636363636,164.69907407407538
4/6/2019 7:00:00,270.3577272727273,164.69907407407538
4/6/2019 8:00:00,318.815,164.69907407407538
4/6/2019 9:00:00,341.45681818181816,164.69907407407538
4/6/2019 10:00:00,298.25954545454545,164.69907407407538
4/6/2019 11:00:00,254.27954545454546,164.69907407407538
4/6/2019 12:00:00,169.86409090909092,164.69907407407538
4/6/2019 13:00:00,129.32,164.69907407407538
4/6/2019 14:00:00,67.82818181818182,164.69907407407538
4/6/2019 15:00:00,19.75181818181818,164.69907407407538
4/6/2019 16:00:00,0.0,164.69907407407538
4/6/2019 17:00:00,0.0,164.69907407407538
4/6/2019 18:00:00,0.0,164.69907407407538
4/6/2019 19:00:00,0.0,164.69907407407538
4/6/2019 20:00:00,0.0,164.69907407407538
4/6/2019 21:00:00,0.0,164.69907407407538
4/6/2019 22:00:00,0.0,164.69907407407538
4/6/2019 23:00:00,0.0,156.82870370370495
5/6/2019 0:00:00,0.0,156.82870370370495
5/6/2019 1:00:00,0.0,156.82870370370495
5/6/2019 2:00:00,0.0,156.82870370370495
5/6/2019 3:00:00,0.0,156.82870370370495
5/6/2019 4:00:00,0.0,156.82870370370495
5/6/2019 5:00:00,5.180454545454546,156.82870370370495
5/6/2019 6:00:00,151.53454545454545,156.82870370370495
5/6/2019 7:00:00,285.4286363636364,156.82870370370495
